05:00.0,-5156.507297,-10774.34377,3038.089463,2.8793,-0.155569,4.266171
06:00.0,-4981.876406,-10780.41038,3292.86224,2.941583,-0.046741,4.225679
07:00.0,-4803.545227,-10779.96107,3545.107761,3.002634,0.061619,4.181933
08:00.0,-4621.589211,-10773.026,3794.631692,3.062402,0.169442,4.134964
09:00.0,-4436.086772,-10759.63925,4041.241598,3.120838,0.276665,4.084804
10:00.0,-4247.119276,-10739.83882,4284.747079,3.177894,0.383223,4.031488
11:00.0,-4054.771032,-10713.66652,4524.9599,3.23352,0.489051,3.975054
12:00.0,-3859.12928,-10681.16797,4761.694123,3.287668,0.594088,3.915541
13:00.0,-3660.28417,-10642.39255,4994.76624,3.340289,0.698271,3.852991
14:00.0,-3458.328749,-10597.39331,5223.995298,3.391335,0.80154,3.787446
15:00.0,-3253.358935,-10546.22695,5449.203033,3.440759,0.903833,3.718954
16:00.0,-3045.473497,-10488.95375,5670.213992,3.488512,1.005092,3.647562
17:00.0,-2834.774029,-10425.6375,5886.855667,3.53455,1.105259,3.573319
18:00.0,-2621.364921,-10356.34549,6098.95861,3.578824,1.204275,3.496279
19:00.0,-2405.353328,-10281.14837,6306.356569,3.621289,1.302086,3.416496
20:00.0,-2186.849135,-10200.12017,6508.886598,3.6619,1.398636,3.334025
21:00.0,-1965.964925,-10113.33818,6706.38919,3.700613,1.493871,3.248925
22:00.0,-1742.815934,-10020.88289,6898.708388,3.737383,1.587737,3.161256
23:00.0,-1517.520016,-9922.837958,7085.691908,3.772168,1.680184,3.07108
24:00.0,-1290.197594,-9819.290109,7267.191255,3.804924,1.77116,2.978462
25:00.0,-1060.971613,-9710.329073,7443.061835,3.835611,1.860615,2.883467
26:00.0,-829.967493,-9596.047518,7613.163073,3.864187,1.948502,2.786163
27:00.0,-597.313073,-9476.540973,7777.35852,3.890612,2.034773,2.68662
28:00.0,-363.138558,-9351.907757,7935.515968,3.914848,2.119383,2.584909
29:00.0,-127.576458,-9222.248903,8087.507551,3.936857,2.202287,2.481105
30:00.0,109.238473,-9087.668081,8233.209855,3.956601,2.283442,2.375281
31:00.0,347.169299,-8948.271518,8372.504022,3.974046,2.362805,2.267515
32:00.0,586.076974,-8804.167924,8505.275846,3.989156,2.440336,2.157884
33:00.0,825.820406,-8655.468408,8631.415879,4.001897,2.515995,2.04647
34:00.0,1066.256539,-8502.286399,8750.819522,4.012239,2.589746,1.933353
35:00.0,1307.240419,-8344.737561,8863.387121,4.020149,2.66155,1.818618
36:00.0,1548.625281,-8182.93971,8969.024059,4.025599,2.731374,1.702347
37:00.0,1790.26263,-8017.012734,9067.640845,4.02856,2.799182,1.584629
38:00.0,2032.002321,-7847.078499,9159.153196,4.029006,2.864943,1.465549
39:00.0,2273.692656,-7673.260772,9243.482126,4.02691,2.928627,1.345198
40:00.0,2515.180464,-7495.685124,9320.554022,4.022251,2.990203,1.223665
41:00.0,2756.311207,-7314.478849,9390.300723,4.015004,3.049643,1.101042
42:00.0,2996.929067,-7129.770871,9452.659592,4.005151,3.106922,0.977421
43:00.0,3236.87705,-6941.691655,9507.573588,3.992672,3.162014,0.852896
44:00.0,3475.99709,-6750.373116,9554.991332,3.97755,3.214896,0.727563
45:00.0,3714.130151,-6555.948524,9594.867172,3.959771,3.265546,0.601517
46:00.0,3951.116339,-6358.552419,9627.161242,3.939319,3.313944,0.474855
47:00.0,4186.795008,-6158.32051,9651.839518,3.916185,3.36007,0.347674
48:00.0,4421.004878,-5955.389586,9668.87387,3.890358,3.403909,0.220074
49:00.0,4653.58415,-5749.89742,9678.242111,3.861831,3.445443,0.092155
50:00.0,4884.370623,-5541.982674,9679.928042,3.830598,3.484659,-0.035985
51:00.0,5113.201817,-5331.784803,9673.921491,3.796655,3.521546,-0.164244
52:00.0,5339.915097,-5119.443962,9660.218348,3.760001,3.556091,-0.292521
53:00.0,5564.347796,-4905.100906,9638.820599,3.720637,3.588285,-0.420714
54:00.0,5786.337348,-4688.896895,9609.736351,3.678564,3.618122,-0.548721
55:00.0,6005.721414,-4470.973599,9572.979852,3.633789,3.645594,-0.676439
56:00.0,6222.338015,-4251.472996,9528.571514,3.586317,3.670699,-0.803766
