00:00.0,-0.000035,-0.007555,0.000853
01:00.0,-0.000206,-0.00749,0.001288
02:00.0,-0.000375,-0.007397,0.001717
03:00.0,-0.000541,-0.007275,0.00214
04:00.0,-0.000704,-0.007125,0.002555
05:00.0,-0.000864,-0.006948,0.00296
06:00.0,-0.001018,-0.006745,0.003355
07:00.0,-0.001167,-0.006516,0.003736
08:00.0,-0.001309,-0.006263,0.004104
09:00.0,-0.001445,-0.005987,0.004457
10:00.0,-0.001572,-0.005688,0.004793
11:00.0,-0.001691,-0.005367,0.005112
12:00.0,-0.001802,-0.005027,0.005412
13:00.0,-0.001902,-0.004668,0.005692
14:00.0,-0.001993,-0.004292,0.005952
15:00.0,-0.002073,-0.0039,0.00619
16:00.0,-0.002142,-0.003494,0.006406
17:00.0,-0.0022,-0.003075,0.006599
18:00.0,-0.002246,-0.002645,0.006768
19:00.0,-0.002281,-0.002206,0.006913
20:00.0,-0.002303,-0.001758,0.007033
21:00.0,-0.002313,-0.001305,0.007128
22:00.0,-0.002312,-0.000847,0.007197
23:00.0,-0.002298,-0.000386,0.007241
24:00.0,-0.002271,0.000076,0.00726
25:00.0,-0.002233,0.000538,0.007252
26:00.0,-0.002183,0.000997,0.007219
27:00.0,-0.002121,0.001452,0.00716
28:00.0,-0.002047,0.001902,0.007075
29:00.0,-0.001962,0.002344,0.006965
30:00.0,-0.001867,0.002778,0.006831
31:00.0,-0.001761,0.003201,0.006671
32:00.0,-0.001645,0.003612,0.006488
33:00.0,-0.001519,0.004009,0.006282
34:00.0,-0.001385,0.004391,0.006053
35:00.0,-0.001242,0.004757,0.005802
36:00.0,-0.001092,0.005105,0.00553
37:00.0,-0.000934,0.005433,0.005238
38:00.0,-0.000771,0.005741,0.004926
39:00.0,-0.000602,0.006027,0.004597
40:00.0,-0.000428,0.00629,0.004251
41:00.0,-0.000251,0.006529,0.003889
42:00.0,-0.00007,0.006743,0.003512
43:00.0,0.000112,0.006932,0.003123
44:00.0,0.000296,0.007094,0.002722
45:00.0,0.00048,0.007228,0.00231
46:00.0,0.000664,0.007336,0.00189
47:00.0,0.000846,0.007414,0.001463
48:00.0,0.001025,0.007465,0.00103
49:00.0,0.001201,0.007487,0.000593
50:00.0,0.001373,0.00748,0.000154
51:00.0,0.00154,0.007445,-0.000286
52:00.0,0.001701,0.007381,-0.000725
53:00.0,0.001855,0.007288,-0.001162
54:00.0,0.002001,0.007168,-0.001594
55:00.0,0.002139,0.007021,-0.00202
56:00.0,0.002267,0.006847,-0.00244
57:00.0,0.002386,0.006646,-0.00285
